start_node_name,start_node_id,end_node_name,end_node_id,relationship_type,label
工商银行,1134,万达信息,568,cooperate,1
工商银行,1134,民生银行,560,cooperate,1
工商银行,1134,宝丰能源,1131,cooperate,1
工商银行,1134,中国银行,561,cooperate,1
工商银行,1134,天能重工,2209,cooperate,1
工商银行,1134,神州信息,992,cooperate,1
工商银行,1134,上海电力,3538,cooperate,1
工商银行,1134,建设银行,3014,cooperate,1
工商银行,1134,农业银行,2914,cooperate,1
工商银行,1134,传化智联,3718,cooperate,1
工商银行,1134,中关村科技,796,cooperate,1
工商银行,1134,贵阳银行,1319,cooperate,1
工商银行,1134,齐心集团,1592,cooperate,1
工商银行,1134,邮储银行,2784,cooperate,1
工商银行,1134,跨境通,3951,cooperate,1
工商银行,1134,上海临港,3889,cooperate,1
*ST康得,1101,北京银行,1865,cooperate,1
江河集团,1109,上海建工,2995,cooperate,1
江河集团,1109,中国建筑,2185,cooperate,1
西南证券,820,药明康德,2150,cooperate,1
西南证券,820,重庆银行,3792,cooperate,1
西部超导,2774,万东医疗,540,cooperate,1
西部超导,2774,凯立新材,529,cooperate,1
万科A,3645,比亚迪,1600,cooperate,1
万科A,3645,泰禾集团,798,cooperate,1
北汽蓝谷,3735,宁德时代,743,cooperate,1
北汽蓝谷,3735,广汇汽车,1788,cooperate,1
北汽蓝谷,3735,长安汽车,783,cooperate,1
北汽蓝谷,3735,孚能科技,441,cooperate,1
海通证券,2656,上海建工,2995,cooperate,1
海通证券,2656,上海银行,2391,cooperate,1
海通证券,2656,上海临港,3889,cooperate,1
海通证券,2656,财通证券,1147,cooperate,1
海通证券,2656,中国银行,561,cooperate,1
海通证券,2656,长江证券,3113,cooperate,1
中信银行,1400,宁德时代,743,cooperate,1
中信银行,1400,中信证券,3564,cooperate,1
中信银行,1400,华夏银行,3426,cooperate,1
中信银行,1400,跨境通,3951,cooperate,1
中信银行,1400,国泰君安,3285,cooperate,1
润都股份,3833,合众思壮,114,cooperate,1
